id,nom_structure,latitude,longitude,arrondissement_propose,methode,confiance
327,DÉLÉGATION DÉPARTEMENALE DE JEUNESSE ET D'EDUCATION CIVIQUE,7.317545,13.578220,Ngaoundere 1,nominatim,haute
328,JADENGA,7.426361,13.555079,Ngaoundere 3,nominatim,haute
329,JADENGA ,7.426361,13.555079,Ngaoundere 3,nominatim,haute
330,JADENGA ,7.426031,13.555079,Ngaoundere 3,nominatim,haute
331,Centre de santé privé santé pour tous,7.318575,13.587623,Ngaoundere 2,nominatim,haute
332,CIPCRE Ngaoundere,7.319099,13.576677,Ngaoundere 1,nominatim,haute
333,Centre médico social ,7.424551,13.541428,Ngaoundere 3,nominatim,haute
334,CIPCRE Ngaoundere,7.319098,13.576676,Ngaoundere 1,nominatim,haute
335,CIPCRE Antenne Ngaoundéré,7.319099,13.576677,Ngaoundere 1,nominatim,haute
336,Affaire social de Hôpital regional ,7.317521,13.589792,Ngaoundere 2,nominatim,haute
337,DÉLÉGATION DÉPARTEMENTALE DE L'EMPLOI ET FORMATION PROFESSIONNELLE DE LA VINA( ndere 1),7.317874,13.578220,Ngaoundere 1,nominatim,haute
338,AWAYE,7.433399,13.556141,Ngaoundere 3,nominatim,haute
339,AWAYE ,7.433255,13.556164,Ngaoundere 3,nominatim,haute
340,AFFADA (action des femmes et des filles pour l'appui au développement) ndere 1,7.320083,13.575862,Ngaoundere 1,nominatim,haute
341,Mairie de Ngaoundere 3 ,7.433396,13.556138,Ngaoundere 3,nominatim,haute
342,Mairie de Ndere 3 ,7.433399,13.556142,Ngaoundere 3,nominatim,haute
343,AFFADA (Action des Femmes et des Filles pour l'Appui au Développement Alternatif) Ngaoundéré 1er ,7.319884,13.575860,Ngaoundere 1,nominatim,haute
344,Hôpital régional de ngaoundere,7.315649,13.585778,Ngaoundere 1,nominatim,haute
345,Cmpj Ngaoundere 3 ,7.392141,13.552549,Ngaoundere 2,nominatim,haute
346,Cmpj Ngaoundere 3 ,7.386051,13.557610,Ngaoundere 2,nominatim,haute
347,COMMISSAIRIAT CENTRALE AUX RENSEIGNEMENTS GÉNÉRAUX DE LA VINA( DÉPARTEMENTALE),7.339538,13.580121,Ngaoundere 2,nominatim,haute
348,Réseau international de la santé de l'Afrique centrale,7.357158,13.580386,Ngaoundere 2,nominatim,haute
349,CmpjNgaoundere3,7.386051,13.557610,Ngaoundere 2,nominatim,haute
350,Centre de santé integré privé Islamique Lamidat,7.321221,13.587261,Ngaoundere 2,nominatim,haute
351,ACPDD (Ation citoyenne pour le développement durable) ndéré 1,7.320125,13.579387,Ngaoundere 1,nominatim,haute
352,Délégation d'arrondissement de Ngaoundere 3 ,7.386777,13.555441,Ngaoundere 2,nominatim,haute
353,DIVISION REGIONAL DE LA POLICE JUDICIAIRE DE L'ADAMAOUA,7.337514,13.582198,Ngaoundere 2,nominatim,haute
354,Centre de santé salam,7.336493,13.583283,Ngaoundere 2,nominatim,haute
355,CODAS CARITAS (Ngaoundéré 1er),7.322069,13.572305,Ngaoundere 1,nominatim,haute
356,HEAL TH WORLD (ndéré 1),7.319751,13.585387,Ngaoundere 2,nominatim,haute
357,HEAL THE WORLD (ndéré 1),7.319751,13.585387,Ngaoundere 2,nominatim,haute
358,CODAS CARITAS ,7.322069,13.572305,Ngaoundere 1,nominatim,haute
359,Centre de santé intégré privé Aoudou tapare,7.322525,13.598472,Ngaoundere 2,nominatim,haute
